name,state,city,address,lattitude,longitude,type
HPCL Yapral DC Charging Station,Telangana,Secunderabad,"Hindustan Petroleum Corporation Limited, Jai Jawahar Nagar, Yapral, Secunderabad, Telangana, India",17.502,78.539,12.0
HP Loyal Pump and Pantry Fuel Charging Station,Telangana,Secunderabad,"42-601, SP NAGAR, ECIL Main Rd, SSS Tower, MJ Colony, Moula Ali, Secunderabad, Telangana 500040",17.4677,78.5641,12.0
The Moonshine Project restaurant Jubilee Hills,Rajasthan,hyderabad,"385, Road Number 82, Film Nagar, Jubilee Hills, ",17.4141998291016,78.4076995849609,6.0
Almond House Banjara Hills,TamilNadu,hyderabad,"8-2-350/3/1, Next to Meena Bazar, Rd Number 3, Panchavati Society Colony, AK Enclave, Green Valley, Banjara Hills, Hyderabad, Telangana ",17.4270191,78.4434192,6.0
Almond House Kukatpally,WestBengal,hyderabad,"490, JNTU - Hitech City Road, K P H B Phase 3, Kukatpally, Hyderabad, Telangana",17.485859,78.39042,6.0
Sarath City Capital Mall,Harayana,hyderabad,"Capital Mall, GF-070 & 071, Sarath City, Gachibowli - Miyapur Rd, Forest Dept Colony, Kondapur, Hyderabad, Telangana ",17.456842,78.364575,6.0
Almond House SD Road,Delhi,hyderabad,"9-1-109/1B, Regimental Bazaar, Shivaji Nagar,",17.441011,78.503158,6.0
Chai Kahani - Sainikpuri,Hyderabadu00a0,hyderabad,"colony, 1st Cross Vayupuri, Verka Residency, Vayupuri, Sainikpuri",17.486819,78.5431269,6.0
"Swiss Castle, Vidyanagar",Punjab,hyderabad,"2-1-565/F/4, Nallakunta Main Rd, Vidya Nagar, Adikmet, Hyderabad",17.400595,78.508078,6.0
Flip Side,Delhi,hyderabad,"ISB Rd, Financial District, Nanakramguda, Hyderabad, Telangana",17.4139784,78.3275492,6.0
Taj Mahal Hotel,TamilNadu,hyderabad,"5-9-502, Gun Foundry Street Number 1, Gun Foundry, Abids",17.3916834,78.4766724,6.0
Ather Space Hyderabad,Jharkhand,hyderabad,"Plot no. 1 & 2, Survey No - 64P, Rohini Layout Opp Shilparamam, Hitech City, Madhapur",17.452666,78.380343,6.0
Noma Talkies,Kerala,hyderabad,"3-4-99, Nacharam - Mallapur Rd, May Flower Hights, Vivekananda Nagar, Mallapur, Secunderabad, Telangana",17.447469,78.57175,6.0
DSL Virtue Mall,Karnataka,hyderabad,"Near Rajiv Gandhi International Cricket Stadium, Survey Colony, Industrial Development Area, Uppal, Hyderabad, Telangana ",17.3998101,78.5551167,6.0
Zozoz Pizzeria,Kerala,hyderabad,"Rd Number 45, opposite Khazana, CBI Colony, Jubilee Hills, Hyderabad, Telangana ",17.4306503,78.4020035,6.0
"Heart Cup Coffee, Gachibowli",Kerala,hyderabad,"Old Mumbai Hwy, next to HP Petrol Pump (Venkatadri Fuel Point, FCI Employees Cooperative Housing Society, Indira Nagar, Gachibowli, Hyderabad, Telangana ",17.4453566,78.3556014,6.0
Pepper & Tarragon Club Caffe,Gujarat,hyderabad,"Opposite to Aparna Sarovar, Nalagandla, Telangana ",17.46377,78.3088,6.0
Narahari Silk House,Gujarat,hyderabad,"18-6-828, Lal Darwaza Rd, Balagunj, Lal Darwaza South, Lal Darwaza, Hyderabad, Telangana ",17.34763,78.475397,6.0
Ather test ride centre,Maharashtra,hyderabad,"160/1, Patny Center, Sardar Patel Rd, Hyderabad, Telangana ",17.4435458,78.4798274,6.0
Ather Space Nagole,Maharashtra,hyderabad,"Near Sunrise cars, Plot no.64/B, Mamatha Nagar, Nagole X Road, near Supraja Hospital, Hyderabad, Telangana ",17.377497,78.5580849,6.0
F3 Drive-in,Kerala,hyderabad,"near Fusion International School, Ameenpur, Miyapur, Telangana",17.5173192,78.3188293,6.0
"Orange Auto, Erragadda",Telangana,Hyderabad,"8-3-165, Beside Gokul Theatre, Erragadda, Hyderabad u00e2u0080u0093 500018",17.454398,78.434575,7.0
"Orange Auto, Karkhana",Telangana,Hyderabad,"Plot No 54, Gayatri Westend Kakaguda, Karkhana, Secunderabad - 500015",17.45848,78.5,7.0
"Orange Auto, Hafeezpet",Telangana,Hyderabad,"16ABC, Mini Industrial estate, Hafeezpet, Hyderabad, Telangana 500049",17.490308,78.354536,7.0
"Fairfield by Marriott,Gachibowli",Telangana,Hyderabad,"Road No. 2, Financial District, Gachibowli, Hyderabad, Telangana - 500032",17.423858,78.347334,7.0
"Malik Cars, Old Bowenpally",Telangana,Secunderabad,"Adj Service Road Sri Sai Enclave, Old Bowenpally, Secunderabad, Telangana 500011",17.478362,78.4737723,7.0
"Daspalla Hotels, Jubilee Hills",Telangana,Hyderabad,"Daspalla Hotels u00e2u0080u0093 (Jublee Hill Resorts Pvt Ltd)- Rd Number 37, CBI Colony, Jubilee Hills, Hyderabad, Telangana 500033",17.4368304,78.3983261,7.0
Volltic DCS016,Telangana,Hyderabad,"Waverock, Virtusa Polaris, Financial District, Nanakaramguda, Telangana 500032",17.41816383,78.34665104,13.0
Nagole Metro staff Parking,Telangana,Hyderabad,"Inner Ring Rd, Opp. Uppal RTO office, Uppal Main Road, Hyderabad",17.391095,78.558504,8.0
Punjagutta Next Galleria Mall Parking,Telangana,Hyderabad,"Level B1, Next Galleria Mall, Puynjagutta, Hyderabad, Telangana 5600082",17.428624,78.450418,8.0
